accept	I can not accept your invitation .	(10, 16)	We accept the idea of universal health care .	(3, 9)
action	The piano had a very stiff action .	(27, 33)	A rifle action .	(8, 14)
contact	Contact with the pier scraped paint from the hull .	(0, 7)	The pilot made contact with the base .	(15, 22)
carry	Put down 5 and carry 2 .	(15, 20)	I am carrying his child .	(5, 13)
cut	Would you please cut the cake ?	(17, 20)	Cut a hole .	(0, 3)
gather	Gather some stones .	(0, 6)	Herman gathered the students together .	(7, 15)
admit	To admit a serious thought into the mind .	(3, 8)	This pipe admits air .	(10, 16)
side	It brought out his better side .	(26, 30)	The Confederate side was prepared to attack .	(16, 20)
draw	Draw a weapon .	(0, 4)	A ship draws ten feet of water .	(7, 12)
wall	A wall of prejudice .	(2, 6)	The container 's walls were blue .	(17, 22)
carry	The airwaves carry the sound .	(13, 18)	Sound carries well over water .	(6, 13)
carry	These bonds carry warrants .	(12, 17)	The dog was taught to fetch and carry .	(32, 37)
turn	Turn the corner .	(0, 4)	We turned from Socialism to Capitalism .	(3, 9)
carry	The dog was taught to fetch and carry .	(32, 37)	Carry a cause .	(0, 5)
radiate	Spokes radiate from the hub of the wheel .	(7, 14)	The heat radiates from a stove .	(9, 17)
choke	Choke a carburetor .	(0, 5)	The pirate choked the sailor to death .	(11, 17)
church	There is a lovely little church in the valley .	(25, 31)	The church was empty .	(4, 10)
take	Do you take me for a fool ?	(7, 11)	I take it you 're not going ?	(2, 6)
connect	Operator , could you connect me to the Raffles in Singapore ?	(21, 28)	These computers connected well .	(16, 25)
give	The French doors give onto a terrace .	(17, 21)	The wall gave in .	(9, 13)
return	His gross income was enough that he had to file a tax return .	(54, 60)	On his return from Australia we gave him a welcoming party .	(7, 13)
action	He is out of action .	(13, 19)	The piano had a very stiff action .	(27, 33)
head	Tickets are $ 5 per head .	(20, 24)	We will consider performance issues under the head of future improvements .	(46, 50)
hand	On the one hand ... , but on the other hand ...	(11, 15)	All hands on deck .	(4, 9)
spring	The emerging buds were a sure sign of spring .	(38, 44)	You can visit me in the spring , when the weather is bearable .	(24, 30)
describe	The feeling is difficult to describe , but not unpleasant .	(28, 36)	He described what we should do .	(3, 12)
know	Do you know my sister ?	(7, 11)	I know him under a different name .	(2, 6)
turn	Turn your face to the wall .	(0, 4)	The people turned against the President when he stole the election .	(11, 17)
world	He sailed around the world .	(21, 26)	All the world loves a lover .	(8, 13)
ride	I ride to work in a bus .	(2, 6)	She rode a wave of popularity .	(4, 8)
take	We take the Times every day .	(3, 7)	Take action .	(0, 4)
material	She was vice-presidential material .	(26, 34)	He was university material .	(18, 26)
work	This dough does not work easily .	(20, 24)	Can you work an electric drill ?	(8, 12)
come	Come into contact with a terrorist group .	(0, 4)	Where did you come from ?	(14, 18)
fire	In warfare , whoever opens fire first has a greater chance of victory .	(27, 31)	Surrender fires the cold skepticism .	(10, 15)
cover	Cover the grave with flowers .	(0, 5)	She covered herself with glory .	(4, 11)
point	What is the point of discussing it ?	(12, 17)	He stuck the point of the knife into a tree .	(13, 18)
play	It was all done in play .	(19, 23)	Rain stopped play in the 4th inning .	(13, 17)
chance	You take a chance when you let her drive .	(11, 17)	We had the chance to meet the president last week .	(11, 17)
cup	He swore as the ball rimmed the cup and rolled away .	(32, 35)	He drank a cup of coffee .	(11, 14)
drop	A drop of each sample was analyzed .	(2, 6)	They expected the drop would be successful .	(18, 22)
focus	Please focus on your studies and not on your hobbies .	(7, 12)	Focus on passing the test .	(0, 5)
point	He broke the point of his pencil .	(13, 18)	He stuck the point of the knife into a tree .	(13, 18)
collision	The collision of the two ships resulted in a serious oil spill .	(4, 13)	Three passengers were killed in the collision .	(36, 45)
take	Do you take me for a fool ?	(7, 11)	He was often taken to be a man of means .	(13, 18)
plug	Plug the wall .	(0, 4)	He attempted to plug the leaks with some caulk .	(16, 20)
mean	The sky is red this morning — does that mean we 're in for a storm ?	(40, 44)	My ex-husband means nothing to me .	(14, 19)
washout	It was several days after the storm before they could repair the washout and open the road .	(65, 72)	From the house they watched the washout of their newly seeded lawn by the water .	(32, 39)
shell	Nuts shell in falling .	(5, 10)	Wheat or rye shells in reaping .	(13, 19)
make	Make lead into gold .	(0, 4)	How much do you make a month in your new job ?	(16, 20)
run	The crowd had to run away from the burning structure with only the clothes on their backs .	(17, 20)	Who 's running for treasurer this year ?	(7, 14)
leave	Leave the flowers that you see in the park behind .	(0, 5)	The wound I got in my car accident left behind a massive scar .	(35, 39)
thing	How could you do such a thing ?	(24, 29)	He has a thing about seafood .	(9, 14)
land	It can be tricky to land a helicopter .	(20, 24)	Use the net to land the fish .	(15, 19)
air	There was a tension in the air which made me suspect an approaching storm .	(27, 30)	Open a window and let in some air .	(30, 33)
make	Make a phone call .	(0, 4)	They make a cute couple .	(5, 9)
house	The house gets a percentage of every bet .	(4, 9)	He has a house on Cape Cod .	(9, 14)
custody	He was mistreated while in police custody .	(34, 41)	The suspect is in custody .	(18, 25)
respect	He is an intellectual giant , and I have great respect for him .	(47, 54)	Be sure to give my respects to the dean .	(19, 27)
stain	People knew how to stain glass a beautiful blue in the middle ages .	(19, 24)	Stain this table a beautiful walnut color .	(0, 5)
run	The sale will run for ten days .	(14, 17)	The book runs 655 pages .	(9, 13)
strike	Please strike this remark from the record .	(7, 13)	We must strike the enemy 's oil fields .	(8, 14)
take	I used to take The Sunday Times .	(10, 14)	You ca n't take credit for this !	(11, 15)
continue	We can not continue several servants any longer .	(11, 19)	The bad weather continued for two more weeks .	(16, 25)
play	Play the stock market .	(0, 4)	Play cards .	(0, 4)
loaf	Sugar loaf .	(6, 10)	A loaf of cheese .	(2, 6)
carry	You must carry your camping gear .	(9, 14)	Amanda carried the package .	(7, 14)
sum	The sum of all our troubles did not equal the misery they suffered .	(4, 7)	The sum of forty pounds .	(4, 7)
see	He is blind -- he can not see .	(26, 29)	I saw him laughing .	(2, 5)
hit	The temperature could hit 110 F tomorrow .	(22, 25)	The movie hits theaters in December .	(10, 14)
cut	She cut the deck for a long time .	(4, 7)	Soap cuts grease .	(5, 9)
work	Mastering a second language requires a lot of work .	(46, 50)	He arrived at work early today .	(14, 18)
experience	He recalled the experience vividly .	(16, 26)	It was an experience he would not soon forget .	(10, 20)
take	I used to take The Sunday Times .	(10, 14)	Take action .	(0, 4)
focus	Please focus on your studies and not on your hobbies .	(7, 12)	We focused on it .	(3, 10)
thread	A thread of smoke climbed upward .	(2, 8)	From the air the road was a grey thread .	(33, 39)
cut	She cut the deck for a long time .	(4, 7)	Cut a disk .	(0, 3)
come	Come into contact with a terrorist group .	(0, 4)	The shoes came untied .	(10, 14)
coordinate	Coordinate his actions with that of his colleagues .	(0, 10)	Coordinate the painters , masons , and plumbers .	(0, 10)
place	Your place or mine ?	(5, 10)	If you were in my place what would you do ?	(18, 23)
return	They set out on their return to the base camp .	(22, 28)	I expect the house to be spotless upon my return .	(42, 48)
law	There is a law against kidnapping .	(11, 14)	By law , one is not allowed to own a wallaby in New York City .	(3, 6)
tumble	Wash in warm water and tumble dry .	(23, 29)	They tumbled the teams with no apparent pattern .	(5, 12)
stream	Stream of consciousness .	(0, 6)	Two streams of development run through American history .	(4, 11)
play	The play lasted two hours .	(4, 8)	They made a futile play for power .	(19, 23)
credit	I give you credit for owning up to your mistake .	(11, 17)	He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .	(42, 48)
check	He paid all his bills by check .	(25, 30)	He asked the waiter for the check .	(28, 33)
drill	Do n't drill here , there 's a gas pipe .	(7, 12)	Drill a small hole to start the screw in the right direction .	(0, 5)
recognition	Increasing recognition that diabetes frequently coexists with other chronic diseases .	(11, 22)	A sudden recognition of the problem he faced .	(9, 20)
remember	Can you remember her phone number ?	(8, 16)	I remember the concert clearly , but I ca n't recollect why I was there .	(2, 10)
room	Room to pass .	(0, 4)	There was n't that much elbow room in the aircraft .	(30, 34)
microprocessor	A disk drive contains a microprocessor to handle the internal functions of the drive .	(24, 38)	A microprocessor functions as the central processing unit of a microcomputer .	(2, 16)
piece	It was a nice piece of work .	(14, 19)	He needed a piece of granite .	(12, 17)
move	To move in a matter .	(3, 7)	She moved the queen closer to the centre of the board .	(4, 9)
position	Chief of Staff is the second-highest position in the army .	(37, 45)	Atheists do not enjoy a favorable position in American life .	(34, 42)
see	Let 's see -- which movie should we see tonight ?	(7, 10)	How nice to see you again !	(12, 15)
head	His horse won by a head .	(19, 23)	He is two heads taller than his little sister .	(10, 15)
make	To make like a deer caught in the headlights .	(3, 7)	He made as if to punch him , but they both laughed and shook hands .	(3, 7)
reduce	Reduce an image .	(0, 6)	Reduce one 's standard of living .	(0, 6)
work	He could not work the math problem .	(13, 17)	This unpleasant situation is n't going to work itself out .	(42, 46)
take	Take an opportunity .	(0, 4)	The escaped convict took to the hills .	(20, 24)
pack	You had better pack your swollen ankle with ice .	(15, 19)	Pack the faucet .	(0, 4)
integrity	They admired his scrupulous professional integrity .	(41, 50)	He expects to find in us the common honesty and integrity of men of business .	(48, 57)
part	He wanted to feel a part of something bigger than himself .	(20, 24)	The rear part of the house .	(9, 13)
edge	His voice had an edge to it .	(17, 21)	She sat on the edge of the bed .	(15, 19)
take	I take aspirin every day to thin my blood .	(2, 6)	Hitler took the Baltic Republics .	(7, 11)
take	Tomorrow the doctor will take the cast off her arm .	(25, 29)	Take the gun from your pocket .	(0, 4)
create	You can create the color orange by mixing yellow and red .	(8, 14)	The company was created 25 years ago .	(16, 23)
be	I may be an hour .	(6, 8)	When will the meeting be ?	(22, 24)
touch	The cooling touch of the night air .	(12, 17)	This piano has a wonderful touch .	(27, 32)
bum	That mechanic 's a bum - he could n't fix a yo-yo .	(19, 22)	A lazy bum .	(7, 10)
pull	Pull one 's horse to a stand .	(0, 4)	Pull the ball .	(0, 4)
catch	Did you catch a cold ?	(8, 13)	The fashion did not catch .	(20, 25)
see	We had to see a psychiatrist .	(10, 13)	He saw action in Viet Nam .	(3, 6)
make	Make advances .	(0, 4)	She 'll make a fine president .	(8, 12)
realization	A growing realization of the risk involved .	(10, 21)	The victory was the realization of a whole year 's work .	(20, 31)
know	It is vital that he not know .	(24, 28)	She knew of our plan .	(4, 8)
head	He stuck his head out the window .	(13, 17)	They tracked him back toward the head of the stream .	(33, 37)
touch	He longed for the touch of her hand .	(18, 23)	This room needs a woman 's touch .	(27, 32)
fail	Where do today 's public schools fail ?	(33, 37)	The attempt to rescue the hostages failed miserably .	(35, 41)
stick	Stick the corner of the sheet under the mattress .	(0, 5)	The friends stuck together through the war .	(12, 17)
occupy	The young prince will soon occupy the throne .	(27, 33)	He occupies two rooms on the top floor .	(3, 11)
range	My students range from very bright to dull .	(12, 17)	The instruments ranged from tuba to cymbals .	(16, 22)
go	It 's your turn ; go .	(18, 20)	The gun went " bang " .	(8, 12)
practice	The practice of the law .	(4, 12)	I took over his practice when he retired .	(16, 24)
dress	Dress the windows .	(0, 5)	Marlene dressed herself .	(8, 15)
meeting	They came together in a chance meeting on the way home from work .	(31, 38)	Next year the meeting will be in Chicago .	(14, 21)
fill	Do n't feed him any more : he 's had his fill .	(41, 45)	She had heard her fill of gossip .	(18, 22)
polish	Polish your social manners .	(0, 6)	He polished up the chrome until it gleamed .	(3, 11)
style	A cartilaginous style .	(16, 21)	The anal styles of insects .	(9, 15)
treat	I like to treat myself to a day at a spa when I am depressed .	(10, 15)	Grandmother always treated us to the circus .	(19, 26)
go	These luxuries all had to go under the Khmer Rouge .	(26, 28)	This chair has got to go .	(22, 24)
return	Return to your native land .	(0, 6)	The professor returned to his teaching position after serving as Dean .	(14, 22)
give	Give thought to .	(0, 4)	I gave two sons to the war .	(2, 6)
school	He did n't miss a single day of school .	(32, 38)	He walked to school every morning .	(13, 19)
day	After that day she never trusted him again .	(11, 14)	I 've been here for 2 days and a bit .	(22, 26)
strike	Strike ` z ' on the keyboard .	(0, 6)	The horse finally struck a pace .	(18, 24)
make	Make a cake .	(0, 4)	He made twenty bucks playing poker last night .	(3, 7)
break	Break a branch from a tree .	(0, 5)	The business partners broke over a tax question .	(22, 27)
academy	The Academy of Music .	(4, 11)	The American Academy of Arts and Sciences .	(13, 20)
head	I 've got to go to the head .	(23, 27)	This song keeps going through my head .	(33, 37)
keep	Keep appointments .	(0, 4)	We kept to the original conditions of the contract .	(3, 7)
ground	They fought to regain the lost ground .	(31, 37)	The worm crawls through the ground .	(28, 34)
spread	They put out quite a spread .	(21, 27)	The spread between lending and borrowing costs .	(4, 10)
lob	Lob the tennis ball .	(0, 3)	The guard lobbed a pass just over the defender .	(10, 16)
draw	Draw a conclusion .	(0, 4)	The doctors drew medical supplies from the hospital 's emergency bank .	(12, 16)
fall	The hills around here fall towards the ocean .	(22, 26)	His eyes fell .	(9, 13)
business	We do business all over the world .	(6, 14)	He bought his brother 's business .	(25, 33)
buildup	I envied his rapid buildup of assets .	(19, 26)	A military buildup in preparation for the invasion .	(11, 18)
object	The sole object of her trip was to see her children .	(9, 15)	The object of the verb .	(4, 10)
catch	Catch one 's breath .	(0, 5)	Catch some sleep .	(0, 5)
order	It was on the order of a mile .	(14, 19)	Law and order .	(8, 13)
replace	The insurance will replace the lost income .	(19, 26)	He replaced the old razor blade .	(3, 11)
breath	His sour breath offended her .	(9, 15)	The child 's breath came quickly and unevenly .	(13, 19)
break	Break the code .	(0, 5)	Break a branch from a tree .	(0, 5)
run	The horse will run the Preakness next year .	(15, 18)	I 'm not ready to run a marathon .	(18, 21)
hand	His hand was illegible .	(4, 8)	A good hand .	(7, 11)
shock	He had an unruly shock of black hair .	(17, 22)	The train hit the buffers with a great shock .	(39, 44)
piece	He 's packin ' a piece !	(17, 22)	He needed a piece of granite .	(12, 17)
coordinate	Coordinate our efforts .	(0, 10)	Coordinate his actions with that of his colleagues .	(0, 10)
assume	Mr. Jones will assume the position of a lifeguard until a proper replacement is found .	(15, 21)	The queen assumed the stately robes .	(10, 17)
